"ID","Species","authors_gbifID","year_of_publication","country_of_collection","locallity_of_collection","y","x","coordinate_source","year_of_collection","identification_method"
198,"target_group","1826364625",NA,"Côte d'Ivoire","Hambol. Katiola. Foroforo",7.96802,-5.049406,"gbif","2016","unknown"
199,"target_group","1826364669",NA,"Côte d'Ivoire","",9.907128,-5.627906,"gbif","2016","unknown"
200,"target_group","1826364673",NA,"Chad","N'Djamena. N'Djamena",12.07275,15.123944,"gbif","2013","unknown"
201,"target_group","1826364694",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Noumousso",10.107108,-5.142159,"gbif","2016","unknown"
202,"target_group","1826364942",NA,"Côte d'Ivoire","Hambol. Katiola. Foroforo",7.968796,-5.049537,"gbif","2016","unknown"
203,"target_group","1826365011",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Noumousso",10.107131,-5.141892,"gbif","2016","unknown"
204,"target_group","1882436883",NA,"Niger","Tillaberi. Kokorou",14.20607,0.87854,"gbif","2016","unknown"
205,"target_group","1882436893",NA,"Niger","Tillaberi. Kokorou",14.20635,0.88952,"gbif","2016","unknown"
206,"target_group","1882436894",NA,"Niger","Tillaberi. Kokorou",14.2054,0.89843,"gbif","2016","unknown"
207,"target_group","1882436926",NA,"Niger","Tillaberi. Kokorou",14.2042,0.90756,"gbif","2016","unknown"
208,"target_group","1882436928",NA,"Niger","Tillaberi. Kokorou",14.20416,0.91017,"gbif","2016","unknown"
209,"target_group","1882436929",NA,"Niger","Tabalak",15.11306,5.68624,"gbif","2017","unknown"
210,"target_group","1882436959",NA,"Niger","Tabalak",15.10394,5.66574,"gbif","2016","unknown"
211,"target_group","1882436960",NA,"Niger","Tabalak",15.11445,5.67915,"gbif","2016","unknown"
212,"target_group","1882436962",NA,"Niger","Tabalak",15.09456,5.65932,"gbif","2016","unknown"
213,"target_group","1882436966",NA,"Niger","Tabalak",15.09798,5.6614,"gbif","2016","unknown"
214,"target_group","1882436973",NA,"Niger","Tabalak",15.0889,5.65653,"gbif","2017","unknown"
215,"target_group","1882436983",NA,"Niger","Tabalak",15.11432,5.68366,"gbif","2016","unknown"
216,"target_group","1882436992",NA,"Niger","Tabalak",15.09953,5.66287,"gbif","2017","unknown"
217,"target_group","1882436994",NA,"Niger","Tillaberi. Kokorou",14.20505,0.87873,"gbif","2016","unknown"
218,"target_group","1882437005",NA,"Niger","Tabalak",15.08022,5.64869,"gbif","2016","unknown"
219,"target_group","1882437037",NA,"Niger","Tillaberi. Kokorou",14.20166,0.91952,"gbif","2016","unknown"
220,"target_group","1882437041",NA,"Niger","Tillaberi. Kokorou",14.20614,0.88873,"gbif","2016","unknown"
221,"target_group","1882437080",NA,"Niger","Middick",13.46933,8.55485,"gbif","2016","unknown"
222,"target_group","1882437113",NA,"Niger","Tapkin in Birgui",13.43698,8.58903,"gbif","2016","unknown"
223,"target_group","1882437132",NA,"Niger","Kagna",13.48051,8.57224,"gbif","2016","unknown"
224,"target_group","1882437195",NA,"Niger","Rafa",14.13722,9.69495,"gbif","2016","unknown"
225,"target_group","1882437197",NA,"Niger","",13.70278,9.15409,"gbif","2016","unknown"
226,"target_group","1882437201",NA,"Niger","Kissambana",13.70166,9.32622,"gbif","2016","unknown"
227,"target_group","1882437887",NA,"Senegal","Saint-Louis. Richard Toll. Merina Gewel",15.937085,-15.969754,"gbif","2016","unknown"
228,"target_group","1882437918",NA,"Senegal","Syer. Richard Toll. St Louis",16.077246,-15.895939,"gbif","2016","unknown"
229,"target_group","1882438171",NA,"Senegal","locality: Malla Tack; site: Malla Tack 2",16.133781,-15.88548,"gbif","2017","unknown"
230,"target_group","2248088183",NA,"Malawi","",-9.89932,33.9437,"gbif","2006","unknown"
