"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",10,0,15,,15,3
,,24,"Corsica",12,0,15,,15,3
,,24,"Corsica",,1,0,,15,3
,,24,"Corsica",,1,12,,15,3
,,24,"Corsica",10,0,15,,15,3
,,24,"Corsica",,1,10,,15,3
,,24,"Corsica",0,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,12,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",11,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",0,0,15,,15,3
,,24,"Corsica",12,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",11,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",9,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,12,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,11,,15,3
,,24,"Corsica",,1,2,,15,3
,,24,"Corsica",,1,6,,15,3
,,24,"Corsica",6,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,3,,15,3
,,24,"Corsica",5,0,15,,15,3
,,24,"Corsica",,1,5,,15,3
,,24,"Corsica",3,0,15,,15,3
